file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-27-02.786.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 514959789, 520444800,215.349 , 192.643, 23.976, 0, 7779, 1, 0, 359, 27136 kbps
./Netflix_Screen_Capture\2021-03-21_15-27-12.797.jpeg,3840,2160, 100/100,192 , 17857,5093615 , 510237882, 515331497,205.166 , 192.929, 23.976, 0, 8018, 1, 0, 359, 27027 kbps
./Netflix_Screen_Capture\2021-03-21_15-27-22.781.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 528199217, 533684228,211.011 , 191.908, 23.976, 0, 8268, 1, 0, 359, 24394 kbps
./Netflix_Screen_Capture\2021-03-21_15-27-32.800.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 535955239, 541440250,216.846 , 198.520, 23.976, 0, 8513, 1, 0, 359, 26385 kbps
./Netflix_Screen_Capture\2021-03-21_15-27-42.797.jpeg,3840,2160, 100/100,192 , 17857,5093615 , 506651370, 511744985,206.674 , 188.348, 23.976, 0, 8756, 1, 0, 359, 26818 kbps
./Netflix_Screen_Capture\2021-03-21_15-27-52.789.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 546175677, 551660688,213.294 , 198.070, 23.976, 0, 8977, 1, 0, 390, 26090 kbps
./Netflix_Screen_Capture\2021-03-21_15-28-02.801.jpeg,3840,2160, 100/100,192 , 17857,5092834 , 541737420, 546830254,203.099 , 200.262, 23.976, 0, 9217, 1, 0, 390,
./Netflix_Screen_Capture\2021-03-21_15-28-12.806.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 551917884, 557402895,208.948 , 198.963, 23.976, 0, 9464, 1, 0, 411, 27099 kbps
./Netflix_Screen_Capture\2021-03-21_15-28-22.785.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 578851497, 584728685,230.796 , 204.503, 23.976, 0, 9711, 1, 0, 411, 27672 kbps
./Netflix_Screen_Capture\2021-03-21_15-28-32.810.jpeg,3840,2160, 100/100,192 , 17857,5485011 , 585252715, 590737726,220.611 , 217.008, 23.976, 0, 9955, 1, 0, 411,
